article_id,infraction_desc,amende_fixe,points_retrait,categorie_vehicule,type_infraction,mots_cles,cluster,categorie_cluster
15,15 املاده اعاله14 و12 عالوه علا الفحوص الطبيه املنصوص عليها في املادتين يخضع لفحص طبي كل شخص حاصل علا رخصه سياقه اصيب بمرض او بعجز منصوص 1 عليه في قائمه تضعها االداره، بعد استشاره املجلس الوطني لهيئه االطباء الوطنيه، وذلك داخل اجل ثالثين يوما املوالي,,,leger,obligation,documents,0,permis_conduite
16,16 املاده تجرا الفحوص الطبيه االجباريه املفروضه بموجب هذا القانون من قبل اطباء من القطاع العام بعده. ويقوم عند االقتضاء21 او من القطاع الخاص يستوفون الشروط املنصوص عليها في املاده .باجراء الفحص متخصص او متخصصون حسب طبيعه الفحص الالزم اجراؤه 9 االمانه,,,,definition,,0,permis_conduite
17,17 املاده بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 نسخت وعوضت مبوجب املاده الثانيه من القانون رقم 5879 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ، ج.ر عدد2016 يوليو18 1437 من شوال13 اعاله، شهاده الا املعني باالمر14 و12 يسلم الطبيب الذي,,,leger,definition,documents,5,references_legales
18,18 املاده اعاله، الا االداره املختصه، نسخه15 يوجه الطبيب الذي قام,,,leger,definition,documents,0,permis_conduite
19,19 املاده ،اذا نازع صاحب رخصه السياقه او االداره في استنتاجات الطبيب املضمنه في الشهاده الطبيه يخضع املعني باالمر، بطلب منه او بطلب من االداره، لفحص طبي مضاد تجريه لجنه طبيه لالستئناف . بعده21 تتكون وفق احكام املاده ال يجوز للطبيب الذي قام باجراء الف,,,leger,definition,documents,0,permis_conduite
20,20 املاده اذا نازع صاحب رخصه السياقه او االداره في استنتاجات اللجنه الطبيه لالستئناف، يخضع املعني باالمر، بطلب منه او بطلب من االداره، لفحص طبي مضاد يجريه طبيب خبير يعين بامر من رئيس .املحكمه االبتدائيه التابع لدائره نفوذها املكان الذي يقيم فيه صاحب,,,leger,definition,documents,0,permis_conduite
21,21 املاده 19 و16 تعتمد االداره االطباء واالطباء اعضاء اللجنه الطبيه لالستئناف املشار اليهم في املادتين اعاله، املؤهلين لتسليم الشهادات الطبيه املنصوص عليها في هذا الفرع، اذا اثبتوا توفرهم علا معارف علميه وتجهيزات خاصه ومالئمه تحدد االداره الئحتها بعد,,,leger,definition,documents,0,permis_conduite
22,22 املاده يخصص رصيد من النقط لرخصه السياقه. ويخفض هذا الرصيد بقوه القانون اذا ادين صاحب الرخصه من اجل مخالفه تستوجب هذا التخفيض او ادا الغرامه التصالحيه والجزافيه في الحاالت .املنصوص عليها في هذا القانون وفي النصوص الصادره لتطبيقه .يمكن استرجاع النقط,,,leger,sanction,documents,2,permissions_exceptions
23,23 املاده بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 نسخت وعوضت مبوجب املاده الثانيه من القانون رقم 5880 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ، ج.ر عدد2016 يوليو18 1437 من شوال13 اعاله، علا رخصه السياقه10 يحصل املترشح الذي اجتاز بنجا,,,leger,definition,documents,5,references_legales
24,24 املاده بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 نسخت وعوضت مبوجب املاده الثانيه من القانون رقم 5880 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ، ج.ر عدد2016 يوليو18 1437 من شوال13 تلغا الرخصه بقوه القانون ابتداء من تاريخ فقدان اخر نقط,,,leger,definition,documents,5,references_legales
25,25 املاده,,,,definition,,0,permis_conduite
26,26 املاده يجب علا صاحب رخصه السياقه، الذي فقد خالل الفتره االختباريه اكثر من ثلثي النقط املخصصه .للرخصه املذكوره، ان يخضع لدوره في التربيه علا السالمه الطرقيه تحدد كيفياتها من قبل االداره 12 االمانه العامه للحكومه 3 الفرع رخصه السياقه بعد انتهاء الفت,,,leger,obligation,documents,0,permis_conduite
27,27 املاده ، اعاله26 اعاله،ومع مراعاه احكام املاده23 عند انتهاء الفتره ا,,,leger,definition,documents,0,permis_conduite
28,28 املاده يثبت ارتكاب مخالفه مؤديه الا خصم عدد من النقط من رصيد رخصه السياقه، باداء غرامه .تصالحيه وجزافيه او بمقرر قضائي باالدانه حاز قوه الاشيء املقغضي به يتم اخبار مرتكب املخالفه بان اداء الغرامه التصالحيه والجزافيه يعد اعترافا بارتكاب املخالفه .و,,,leger,sanction,documents,0,permis_conduite
29,29 املاده .يحدد عدد النقط الواجب خصمها تبعا لجسامه املخالفه املرتكبه,,,,definition,,0,permis_conduite
30,30 املاده ،يتم اخبار املعني باالمر، عند اشعاره بان احدا املخالفات املؤد,,,leger,definition,documents,0,permis_conduite
31,31 املاده اذا ثبت ارتكاب مخالفه باداء غرامه تصالحيه وجزافيه بين يدي الع,,,leger,sanction,documents,0,permis_conduite
32,32 املاده,,,,definition,,0,permis_conduite
32,32 املاده اعاله وفي حاله فقدانه مجموع النقط ، يتلقا املعني31 في ما عدا,,,leger,definition,documents,0,permis_conduite
33,33 املاده نقط وذلك4 يجوز لصاحب رخصه السياقه، قبل انصرام الفتره االختباريه، ان يسترجع اربع .دون تجاوز الحد االقظصا املخصص لرخصته، اذا خضع لدوره في التربيه علا السالمه الطرقيه,,,leger,definition,"depassement, documents",0,permis_conduite
34,34 املاده ال يجوز للحاصل علا رخصه السياقه، الذي فقد مجموع النقط بعد الف,,,leger,definition,documents,0,permis_conduite
35,35 املاده اذا لم يرتكب صاحب رخصه السياقه مخالفه جديده معاقبا عليها بخصم النقط، داخل اجل سنوات من التاريخ الذي حاز فيه اخر مقرر قضائي باالدانه قوه الاشيء املقغضي به او من3 ثالث تاريخ اداء اخر غرامه تصالحيه وجزافيه، خصص لرخصته من جديد، الرصيد االقظصا م,,,leger,sanction,"depassement, documents",4,dispositions_transitoires
36,36 املاده يمكن ان تحرر رخصه السياقه في حامل يكون قابال الن تسجل عليه في شكل الكتروني املعلومات .التي تحتوي عليها الرخصه .تكون للمحرر في شكل الكتروني نفس القيمه الثبوتيه للمحرر علا حامل من ورق .ال يمكن ان يسلم لشخص حاصل علا اكثر من صنف من اصناف رخصه ا,,,leger,definition,documents,2,permissions_exceptions
37,37 املاده يجب ان يتضمن الحامل املحرره فيه رخصه السياقه ، علا الخصوص ما,,,leger,obligation,documents,0,permis_conduite
38,38 املاده .تحدد مده صالحيه الحامل املحرره فيه رخصه السياقه في عشر سنوات,,,leger,obligation,documents,0,permis_conduite
39,39 املاده يجب علا اصحاب رخصه السياقه ان يقوموا بتغيير الحامل املحرره فيه، اذا قررت االداره ذلك .التغيير، خاصه اعتبارا للتطور التكنولوجي .تحدد االداره نوع وشكل الحامل املحرره فيه رخصه السياقه وكذا كيفيات تغييره يحق تغيير الحامل املحرره فيه رخصه السياق,,,leger,obligation,documents,0,permis_conduite
40,40 املاده من شوال13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 غريت مبوجب املاده االوال من القانون رقم 5868 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ، ج.ر عدد2016 يوليو18 1437 ال يجوز الي كان سياقه املركبات املبينه بعده، بصفه مهنيه، ان ل,,,leger,obligation,"depassement, documents",5,references_legales
41,41 املاده ،يجب علا كل حاصل علا بطاقه سائق منهي ان يتابع، كل خمس سنوات، الجل تجديد هذه البطاقه .تكوينا مستمرا خالل السنه االخيره من هذه الفتره,,,,obligation,,0,permis_conduite
42,42 املاده اعاله علا41 و40 يجب ان ينصب التكوين التاهيلي والتكوين املستمر املشار اليهما في املادتين االستعمال الرشيد للمركبه حسب خصائصها التقنيه ؛ اتخاذ موقف مناسب في حاالت االستعجال لتوقع الخطر واحترام املستعملين االخرين للطريق العموميه ؛ استعمال اجهز,,,leger,obligation,,0,permis_conduite
43,43 املاده يلقن التكوين التاهيلي االولي والتكوين املستمر، املشار اليهما في هذا الباب، بمؤسسات تعتمدها .االداره لهذا الغرض تحدد االداره برنامج التكوين التاهيلي االولي والتكوين املستمر وكيفيات التقييم وكذا نموذج .ومضمون بطاقه سائق منهي وكيفيات تسليمها و,,,,definition,,0,permis_conduite
44,44 املاده يراد في مفهوم هذا القانون بما يلي مركبه كل وسيله نقل لها عجلت,,,leger,definition,depassement,3,regles_circulation
45,45 املاده يجب صنع املركبات او مجموعه املركبات وتسويقها واستغاللها واستعمالها وصيانتها وعند االقتضاء، اصالحها، علا نحو يؤمن سالمه مستعملي الطريق العموميه ويقلل من استهالك الطاقه .ومن احداث نفايات غير قابله العاده استعمالها ومن انبعاث مواد ملوثه,,,,obligation,,3,regles_circulation
46,46 املاده يجب ان تؤمن قواعد صنع وتجهيز املركبات وتهيئتها، حسب االستعمال املخصصه له، والتي تضعها االداره، ضمانات صالبه وسالمه كافيه تمكن السائق من التحكم في مركبته ومن التقليص قدر االمكان من اخطار الحوادث والعواقب الناجمه عنها، سواء بالنسبه لركاب املر,,,,obligation,,3,regles_circulation
47,47 املاده تحدد قواعد صنع وتجهيز وتهيئه املركبات الخصائص التقنيه او املعايير املتعلقه علا الخصوص بما يلي االوزان ؛ 1 اطارات العجالت واالتصال باالرض ؛ 2 االبعاد ؛ 3 ابعاد الحموله واجهزه الشحن وربط الشحنه ؛ 4 االدوات املحركه ؛ 5 ادوات التحريك ؛ 6 ادوات,,,leger,definition,vitesse,3,regles_circulation
48,48 املاده .يجب ان تجهز كل مركبه وكل مقطوره باجهزه السالمه ولوازمها .تحدد االداره اجهزه السالمه ولوازمها والقواعد التي تخضع لها 21 االمانه العامه للحكومه,,,leger,obligation,,0,permis_conduite
49,49 املاده تقوم االداره، قصد التاكد من ان املركبه ذات محرك او مجموعه املركبات او الدراجه الناريه اعاله، باملصادقه علا48 و47 و46 يمكن ان تقبل للسير علا الطريق العموميه مع التقيد باحكام املواد . املذكورتين48 و47 املركبه وذلك بمراقبه خصائصها التقنيه او ا,,,,obligation,depassement,3,regles_circulation
50,50 املاده يمنع استخدام واستغالل كل مركبه علا الطريق العموميه ال تكون خصائصها التقنيه مطابقه . اعاله الا حين مطابقتها لتلك القواعد48 و47 و46 للقواعد املقرره تطبيقا للمواد تطبق احكام الفقره االولا من هذه املاده ايضا علا كل مقطوره يتجاوز وزنها االجمالي,,,leger,obligation,depassement,3,regles_circulation
51,51 املاده تخضع كل مركبه ادخلت عليها، بعد املصادقه عليها، احدا التغييرات املحدده من قبل االداره الا .مصادقه جديده,,,leger,definition,,0,permis_conduite
52,52 املاده يمكن لالعوان او للهيئات املؤهلين قانونا من قبل االداره، القيام باخذ عينات من املركبات او من عناصر او اجهزه املركبات التي سبقت املصادقه عليها، كما هو منصوص عليه في هذا القانون والنصوص الصادره لتطبيقه، لدا الصانعين او املستوردين او وكالء شركا,,,,obligation,,3,regles_circulation
53,53 املاده يجب علا كل مالك سياره او دراجه ناريه او دراجه ثالثيه العجالت بمحرك او دراجه رباعيه العجالت ثقيله بمحرك، ان يقوم بتسجيلها قبل الشروع في استخدامها الول مره . وتسلم له شهاده . تسجيل تطبق احكام الفقره االولا من هذه املاده علا كل مقطوره يتجاوز و,,,moto,obligation,depassement,0,permis_conduite
54,54 املاده .تثبت شهاده التسجيل، مع مراعاه صحه تصريح املالك، مطابقه املرك,,,leger,definition,,0,permis_conduite
55,55 املاده تخضع ايضا للتسجيل، اذا كانت تسير علا الطريق العموميه، املركبات الفالحيه ذات محرك .واملركبات الغابويه ذات محرك واريبات االشغال العموميه تطبق احكام الفقره االولا من هذه املاده علا كل االجهزه الفالحيه واالجهزه الغابويه التي يتجاوز وزنها . كيلو,,,,definition,depassement,3,regles_circulation
56,56 املاده . لتسجيل خاص تحدده االداره تخضع املركبات التي تملكها الدوله او الجماعات الترابيه . من الدستور135 حلت عباره الجماعات الترابيه محل عباره الجماعات املحليه بموجب الفصل 1 23 االمانه العامه للحكومه,,,,definition,,3,regles_circulation
57,57 املاده يمكن ان تحرر شهاده تسجيل املركبه في حامل يكون قابال الن تسجل عليه في شكل الكتروني .املعلومات التي تحتوي عليها الشهاده والبيانات املتعلقه باملراقبه التقنيه .تكون للمحرر في شكل الكتروني نفس القيمه الثبوتيه للمحرر علا حامل من ورق يجب علا اصحاب,,,,obligation,,2,permissions_exceptions
58,58 املاده . سنوات10 تحدد مده صالحيه الحامل املحرره فيه شهاده التس,,,leger,obligation,documents,0,permis_conduite
59,59 املاده يجب علا كل من تملك مركبه، في حاله تغيير مالكها او شراء,,,leger,obligation,,0,permis_conduite
60,60 املاده اعاله ايضا علا كل شخص يصبح مالكا ملركبه خاضعه للتسجيل، علا اثر ارث59 تطبق احكام املاده او هبه او قسمه او تصفيه قضائيه او ممارسه حق استرداد او تخلي عن ملكيه او بيع قضائي او بيع .باملزاد العلني . يوما90 املذكوره يرفع الا59 غير ان االجل املشار,,,,definition,,0,permis_conduite
61,61 املاده اعاله اال من قبل االشخاص املعتمدين من61 ال يمكن صياغه صفائح,,,,definition,,2,permissions_exceptions
61,61 املاده يجب ان تكون كل مركبه مسجله مزوده بصفائح تسجيل تحدد االداره خصائصها وشروط تثبيتها . علا املركبه 1,,,leger,obligation,,0,permis_conduite
62,62 املاده يتم سحب كل مركبه خاضعه للتسجيل من السير بصفه نهائيه بعد االدالء بتصريح بذلك وفق . املسطره وداخل االجل املحددين من لدن االداره,,,leger,definition,,0,permis_conduite
63,63 املاده يجب ان تكون شهاده التسجيل او الوثيقه التي تحل محلها موجوده علا متن املركبه اثناء سيرها .علا الطريق العموميه 25 االمانه العامه للحكومه الباب الثاني احكام خاصه تتعلق بالدراجات والدراجات ثالثيه العجالت والدراجات رباعيه العجالت,,,,obligation,documents,3,regles_circulation
64,64 املاده ال تقبل الدراجات والدراجات ثالثيه العجالت والدراجات رباعيه العجالت للسير علا الطريق العموميه اال اذا كان مصادقا عليها من قبل االداره، بعد مراقبه خصائصها التقنيه وال سيما منها البنيه ؛ اطار العجالت ؛ اجهزه التحريك والتوجيه واالناره والتشوير,,,,definition,,3,regles_circulation
65,65 املاده من شوال13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 غريت مبوجب املاده االوال من القانون رقم 5869 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ، ج.ر عدد2016 يوليو18 1437 يجب علا كل من تملك دراجه بمحرك او دراجه ثالثيه العجالت بمحرك,,,leger,obligation,documents,5,references_legales
66,66 املاده من شوال13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 غريت مبوجب املاده االوال من القانون رقم 5869 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ، ج.ر عدد2016 يوليو18 1437 .تخضع جميع املركبات الخاضعه للتسجيل، او لسند امللكيه ملراقبه,,,,definition,,5,references_legales
67,67 املاده املراقبه التقنيه هي العمليه التي تهدف الا التحقق من ان املركبه الخاضعه لهذه املراقبه مطابقه لتشخيصها املحدد بموجب هذا القانون والنصوص الصادره لتطبيقه، وانها في حاله جيده للسير وال يشوبها اي عيب او خلل او تاكل ميكانيكي غير عادي وان اجهزه سال,,,,obligation,,0,permis_conduite
68,68 املاده .يترتب علا اجراء كل نوع من انواع املراقبه التقنيه تسليم وثيقه تثبت هذه املراقبه .يجب لزوما ان توجد الوثيقه املذكوره علا متن املركبه، اثناء سيرها علا الطريق العموميه تحدد االداره دوريه املراقبه التقنيه ومسطره املراقبه واجهزه املركبه الواجب م,,,,obligation,documents,3,regles_circulation
69,69 املاده ،يمكن ان تامر االداره باجراء فحوص تقنيه مضاده ملركبه سبق ان كانت موضوع مراقبه تقنيه بناء علا طلب من هيئات االفتحاص واملراقبه املؤهله لهذا الغرض من قبل االداره او بناء علا طلب .من االعوان محرري املحاضر او استنادا الا تقارير تحررها الهيئات او,,,,definition,,2,permissions_exceptions
70,70 املاده تعتبر مصابه باضرار خطيره كل مركبه خاضعه للتسجيل تعرضت، علا اثر حادثه، العوجاج دائم .اضر ببنيتها الحامله او ببنيه تجميعها كما حددتها الهندسه االصليه للمركبه املقرره من قبل صانع السياره,,,leger,definition,,0,permis_conduite
71,71 املاده اذا لم تعد املركبه صالحه للسير او اصبحت تشكل خطرا علا السالمه الطرقيه، بسبب خطوره 102 االضرار الالحقه بها علا اثر حادثه، وجب توقيفها وفق الشروط املنصوص عليها في املادتين ادناه. ويقوم حينئذ العون محرر املحضر الذي باشر املعاينات، باالحتفاظ بش,,,,definition,,0,permis_conduite
72,72 املاده ،يجب علا مالك املركبه او سائقها او حائزها اخبار االداره في الحال باصابه مركبه باضرار خطيره .اذا لم يبلغ ذلك الا علم املصالح املكلفه بمعاينه الحوادث يقع االلزام املذكور ايضا علا املؤمن، اذا اشعر بتحمل االعباء الناجمه عن ضرر مادي بخصوص مركبه,,,leger,obligation,,0,permis_conduite
73,73 املاده يتوقف كل استخدام جديد ملركبه خاضعه للتسجيل اصيبت باضرار خطيره، علا ما يلي االدالء بتقرير خبره يثبت ان االصالحات التي تم القيام بها ال تخل بسالمه مستعملي الطريق العموميه ؛ 1 . مصادقه جديده 2 28 االمانه العامه للحكومه 2 الفرع املركبات املصرح,,,,definition,stationnement,3,regles_circulation
74,74 املاده يجب علا مالك كل مركبه خاضعه للتسجيل اصبحت غير قابله لالصالح تقنيا علا اثر حادثه، ان .يخبر االداره فورا بذلك يجب، في هذه الحاله، ان تسلم الا االداره، مقابل وصل تحدد هذه االخيره شكله ومضمونه، شهاده .التسجيل مرفقه بتقرير خبره يثبت ان املركبه غ,,,leger,obligation,,0,permis_conduite
75,75 املاده اذا اعطا مالك مركبه خاضعه للتسجيل موافقته للمؤمن قصد تفويت مركبته املصرح بعدم صالحيتها اقتصاديا، نظرا لقيمتها التجاريه التي تقل عن التكلفه املقدره لالصالحات الناتجه عن حادثه، يوجه املؤمن الا االداره، داخل اجل شهر من تاريخ االتفاق املبرم مع,,,leger,obligation,,4,dispositions_transitoires
76,76 املاده اعاله تفويت املركبه قصد اصالحها، ان يوجه داخل75 يجب علا املشتري، اذا تم تطبيقا للماده . يوما، تصريحا بالشراء الا االداره التي تسلمه وصال بذلك30 اجل ثالثين,,,,obligation,,0,permis_conduite
77,77 املاده اعاله، ان تخضع املركبه املصرح بعدم75 من املاده2 يجب في الحاالت املشار اليها في الفقره صالحيتها اقتصاديا من قبل الخبراء الذين انتدبهم املؤمنون علا اثر حادثه، الا مراقبه تقنيه قبل اي .استخدام جديد لها,,,,obligation,,0,permis_conduite
78,78 املاده اعاله، خبير في السيارات، يتوفر75 و74 و73 و71 يقوم باعداد تقارير الخبره املذكوره في املواد ،علا اهليه لتسليم الشهادات التي تثبت ان املركبات غير قابله لالصالح او مصابه باضرار خطيره ومتوفر علا تكوين اولي وتكوين مستمر في مراقبه املركبات غير الق,,,,definition,,3,regles_circulation
79,79 املاده . اعاله78 تضع االداره القائمه الوطنيه للخبراء الذين تتوفر فيهم االهليه املشار اليها في املاده 29 االمانه العامه للحكومه الباب الخامس املركبات املدرجه في عداد التحف,,,,definition,,3,regles_circulation
80,80 املاده بعده، ان81 يجوز ملالك كل مركبه خاضعه للتسجيل، يتوفر فيها احد الشروط املشار اليها في املاده .يطلب ادراج مركبته في عداد التحف يجب ان تقيد في شهاده التسجيل كل مركبه مدرجه في عداد التحف عباره مركبه مدرجه في عداد . التحف,,,leger,obligation,,0,permis_conduite
81,81 املاده يمكن ان تدرج في عداد التحف كل مركبه ذات محرك، مهما كان عمرها، يتوفر فيها احد الشروط التاليه 1 ا ان يكون لها طابع تاريخي ؛ ب ان تكون مملوكه او كانت في ملك شخصيه تتمتع بشهره وطنيه او عامليه ؛ .ج ان تكون قد شاركت في حدث تاريخي وطني او دولي كل,,,leger,definition,"stationnement, depassement, documents",2,permissions_exceptions
82,82 املاده يجب، الجل ادراج مركبه في عداد التحف، ان تكون مزوده باالجهزه املحركه وادوات التعليق .والحصر والرؤيه واالناره وان تكون صالحه للسير، وتثبت هذه الصالحيه بشهاده للمراقبه التقنيه .ال يمكن ان تدرج في عداد التحف املركبات املوجوده في حاله حطام,,,leger,obligation,,3,regles_circulation
83,83 املاده .يجب اال تغادر املركبات املدرجه في عداد التحف منطقه تسجيلها واملناطق املجاوره لها غير انها تخضع لالدالء بتصريح مسبق الا االداره، قصد السير خارج املنطقه املذكوره الجل .املشاركه في التظاهرات او السباقات الرياضيه املطلوبه للمشاركه فيها 30 االم,,,,obligation,,3,regles_circulation
84,84 املاده .تخضع املركبات املدرجه في عداد التحف لشروط مصادقه وتسجيل خاصه تحددها االداره تخضع املركبات املذكوره للمراقبه التقنيه الدوريه وفق شروط خاصه تحددها االداره وللتامين .االجباري علا السيارات اذا كانت تسير علا الطريق العموميه القسم الثالث قواعد ا,,,,definition,documents,3,regles_circulation
85,85 املاده يراد في مفهوم هذا القانون بما يلي تجمع عمراني فضاء تجتمع فيه مبان ويشار خصيصا الا مداخله ومخارجه ؛ باحه عامه للتوقف كل مكان لتوقف املركبات في فضاء محروس او غير محروس مملوك لجماعه عموميه ومفتوح في وجه جميع مستعملي الطريق العموميه ؛ ،طريق سيا,,,poids_lourd,obligation,"vitesse, stationnement, nuit, autoroute",3,regles_circulation
86,86 املاده .تحدد قواعد السير الواجبات التي علا مستعملي الطريق العموميه التقيد بها تحدد هذه القواعد من قبل االداره قصد الحفاظ، في كل مكان وفي كل الظروف، علا النظام العام والسالمه العموميه وسالمه السائقين والراكبين وحمايه صحه االشخاص وجوده البيئه وحمايه,,,,definition,,3,regles_circulation
87,87 املاده يجب ان تمكن قواعد السير علا الطريق العموميه، املبنيه علا املبادئ املحدده اعاله، من تسهيل سير مستعملي الطريق العموميه وسيوله سير املركبات وسالمه نقل االشخاص واملمتلكات واستعمال .املركبات من غير مضايقه املستعملين االخرين للطريق العموميه لهذه,,,leger,obligation,"vitesse, stationnement, alcool, depassement",3,regles_circulation
88,88 املاده 87 عالوه علا قواعد االستعمال العام واالستعمال الخاص للطريق العموميه املشار اليها في املاده اعاله، تتعلق قواعد السير علا الطريق السيار خاصه بما يلي شروط ولوج الطريق السيار والخروج منه عبر املسالك املوصله اليه ؛ 1 املستعملون املسموح لهم او ام,,,leger,definition,stationnement,3,regles_circulation
89,89 املاده يمكن للسلطه الحكوميه املكلفه بالطرق او للسلطات املحليه او للجماعات الترابيه، كل داخل نطاق اختصاصها، ان تسن التدابير الدائمه او املؤقته الالزمه لضمان سهوله او سالمه السير او لتفادي . االتالف غير العادي للطريق العموميه يمكن ان تحد التدابير ام,,,,definition,,2,permissions_exceptions
90,90 املاده ترجح االشارات التي يعطيها االعوان املؤهلون قانونا لذلك واملنظمون للسير في الطريق العموميه .علا كل تشوير او اضواء التشوير او قواعد السير .ترجح اشارات اضواء التشوير علا عالمات التشوير الطرقي االخرا .ترجح عالمات التشوير املتحركه علا العالمات ا,,,,definition,,3,regles_circulation
91,91 املاده يمنع علا املركبات، بالرغم عن كل االحكام املخالفه، كل اشهار يستعمل الضوء بواسطه اله او جهاز .عاكس للضوء يمنع كذلك، وضع اللوحات االشهاريه علا الطريق العموميه والالفتات وكل االجهزه االخرا التي تبهر السائقين او تؤدي بهم الا الخطا او تمثل او تقل,,,,obligation,,3,regles_circulation
